hgnc_symbol	ensembl_gene_id	gene_biotype	chromosome_name	start_position	end_position	description
ZBTB38	ENSG00000177311	protein_coding	3	141324213	141449792	zinc finger and BTB domain containing 38 
ZBTB40	ENSG00000184677	protein_coding	1	22428838	22531157	zinc finger and BTB domain containing 40 
ZBTB7C	ENSG00000184828	protein_coding	18	48026672	48410752	zinc finger and BTB domain containing 7C 
ZC3H12C	ENSG00000149289	protein_coding	11	110093392	110171841	zinc finger CCCH-type containing 12C 
ZEB2	ENSG00000169554	protein_coding	2	144364364	144521057	zinc finger E-box binding homeobox 2 
ZFAT	ENSG00000066827	protein_coding	8	134477788	134713049	zinc finger and AT-hook domain containing 
ZFP36L1	ENSG00000185650	protein_coding	14	68787660	68796253	ZFP36 ring finger protein like 1 
ZFP90	ENSG00000184939	protein_coding	16	68530090	68576072	ZFP90 zinc finger protein 
ZFP91	ENSG00000186660	protein_coding	11	58579063	58621550	ZFP91 zinc finger protein, atypical E3 ubiquitin ligase 
ZGPAT	ENSG00000197114	protein_coding	20	63707465	63736142	zinc finger CCCH-type and G-patch domain containing 
ZNF365	ENSG00000138311	protein_coding	10	62374192	62480288	zinc finger protein 365 
ZNF423	ENSG00000102935	protein_coding	16	49487524	49857919	zinc finger protein 423 
ZNF831	ENSG00000124203	protein_coding	20	59123381	59259113	zinc finger protein 831 
ZPBP	ENSG00000042813	protein_coding	7	49850421	50121329	zona pellucida binding protein 
ZPBP2	ENSG00000186075	protein_coding	17	39868202	39877896	zona pellucida binding protein 2 
