hgnc_symbol	ensembl_gene_id	gene_biotype	chromosome_name	start_position	end_position	description
SOHLH1	ENSG00000165643	protein_coding	9	135693407	135704498	spermatogenesis and oogenesis specific basic helix-loop-helix 1 [Source:HGNC Symbol;Acc:HGNC:27845]
SPATA31A1	ENSG00000204849	protein_coding	9	39355669	39361962	SPATA31 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:23394]
SSU72	ENSG00000160075	protein_coding	1	1541673	1574863	SSU72 homolog, RNA polymerase II CTD phosphatase [Source:HGNC Symbol;Acc:HGNC:25016]
STARD3	ENSG00000131748	protein_coding	17	39637090	39664201	StAR related lipid transfer domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17579]
TAF5L	ENSG00000135801	protein_coding	1	229593121	229626047	TATA-box binding protein associated factor 5 like [Source:HGNC Symbol;Acc:HGNC:17304]
TARM1	ENSG00000248385	protein_coding	19	54069895	54081365	T cell-interacting, activating receptor on myeloid cells 1 [Source:HGNC Symbol;Acc:HGNC:37250]
TCAP	ENSG00000173991	protein_coding	17	39665349	39666554	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]
TEX2	ENSG00000136478	protein_coding	17	64147227	64263260	testis expressed 2 [Source:HGNC Symbol;Acc:HGNC:30884]
TFPT	ENSG00000105619	protein_coding	19	54107020	54115657	TCF3 fusion partner [Source:HGNC Symbol;Acc:HGNC:13630]
TMC4	ENSG00000167608	protein_coding	19	54160108	54173250	transmembrane channel like 4 [Source:HGNC Symbol;Acc:HGNC:22998]
TMCC3	ENSG00000057704	protein_coding	12	94567122	94650557	transmembrane and coiled-coil domain family 3 [Source:HGNC Symbol;Acc:HGNC:29199]
TMEM240	ENSG00000205090	protein_coding	1	1534778	1540624	transmembrane protein 240 [Source:HGNC Symbol;Acc:HGNC:25186]
TMEM88B	ENSG00000205116	protein_coding	1	1425871	1430255	transmembrane protein 88B [Source:HGNC Symbol;Acc:HGNC:37099]
TPTE2	ENSG00000132958	protein_coding	13	19422877	19536762	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 [Source:HGNC Symbol;Acc:HGNC:17299]
TRAPPC2L	ENSG00000167515	protein_coding	16	88856220	88862686	trafficking protein particle complex subunit 2L [Source:HGNC Symbol;Acc:HGNC:30887]
TRAT1	ENSG00000163519	protein_coding	3	108822770	108855005	T cell receptor associated transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:30698]
TSEN34	ENSG00000170892	protein_coding	19	54189938	54194536	tRNA splicing endonuclease subunit 34 [Source:HGNC Symbol;Acc:HGNC:15506]
TUBA3C	ENSG00000198033	protein_coding	13	19173772	19181824	tubulin alpha 3c [Source:HGNC Symbol;Acc:HGNC:12408]
UBAC1	ENSG00000130560	protein_coding	9	135932969	135961373	UBA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30221]
UMOD	ENSG00000169344	protein_coding	16	20333051	20356301	uromodulin [Source:HGNC Symbol;Acc:HGNC:12559]
URB2	ENSG00000135763	protein_coding	1	229626247	229660200	URB2 ribosome biogenesis homolog [Source:HGNC Symbol;Acc:HGNC:28967]
UTS2B	ENSG00000188958	protein_coding	3	191267168	191330526	urotensin 2B [Source:HGNC Symbol;Acc:HGNC:30894]
VIP	ENSG00000146469	protein_coding	6	152750797	152759765	vasoactive intestinal peptide [Source:HGNC Symbol;Acc:HGNC:12693]
VSTM1	ENSG00000189068	protein_coding	19	54040825	54063953	V-set and transmembrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29455]
VWA1	ENSG00000179403	protein_coding	1	1434861	1442882	von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910]
WNT7B	ENSG00000188064	protein_coding	22	45920366	45977162	Wnt family member 7B [Source:HGNC Symbol;Acc:HGNC:12787]
ZC3H18	ENSG00000158545	protein_coding	16	88570403	88631964	zinc finger CCCH-type containing 18 [Source:HGNC Symbol;Acc:HGNC:25091]
ZFP1	ENSG00000184517	protein_coding	16	75148494	75172236	ZFP1 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:23328]
ZNF663P	ENSG00000215452	transcribed_unitary_pseudogene	20	46414228	46459276	zinc finger protein 663, pseudogene [Source:HGNC Symbol;Acc:HGNC:25342]
ZNRF1	ENSG00000186187	protein_coding	16	74999024	75110994	zinc and ring finger 1 [Source:HGNC Symbol;Acc:HGNC:18452]
